07/04/2026 - 19:38:12 (-3 TMZ) | 06:00:03:12 (Artemis Clock) | e os aviônicos de propulsão estão configurados.
07/04/2026 - 19:38:38 (-3 TMZ) | 06:00:03:38 (Artemis Clock) | O cabo ainda não está perto disso, e também nos digam que cabo era. Se aquilo foi EMI vindo daquele cabo, definitivamente precisamos documentar isso.
07/04/2026 - 19:39:05 (-3 TMZ) | 06:00:04:05 (Artemis Clock) | A coisa está perto do detector de fumaça agora. O único cabo que estava era um cabo HDMI desconectado que vai das câmeras, sabe, para o encoder. Estamos perto disso agora, tipo, algumas cabeças estão perto, mas fora isso não estamos vendo nada que causaria
07/04/2026 - 19:39:07 (-3 TMZ) | 06:00:04:07 (Artemis Clock) | picos de qualquer tipo.
07/04/2026 - 19:39:25 (-3 TMZ) | 06:00:04:25 (Artemis Clock) | Tudo bem, recebido. Obrigado por essa informação. Ainda estamos quebrando a cabeça aqui embaixo.
07/04/2026 - 19:47:51 (-3 TMZ) | 06:00:12:51 (Artemis Clock) | Houston, Integridade para Photo TV.
07/04/2026 - 19:47:54 (-3 TMZ) | 06:00:12:54 (Artemis Clock) | Pode falar para PhotoTV.
07/04/2026 - 19:48:18 (-3 TMZ) | 06:00:13:18 (Artemis Clock) | Elas estão no PCD2. Por favor, façam o download de cerca de dez imagens que estão ali na subpasta imagery for downlink / PhotoTV. Se o pessoal do PhotoTV puder dar uma olhada e, de preferência, nos dar um joinha, e se não, nos passar um feedback, agradeceríamos.
07/04/2026 - 19:48:23 (-3 TMZ) | 06:00:13:23 (Artemis Clock) | Vamos baixar isso, dar uma olhada e responder para vocês.
07/04/2026 - 20:17:32 (-3 TMZ) | 06:00:42:32 (Artemis Clock) | E levando isso para Houston, faltam dois minutos para as starfield maneuvers, e temos mais algumas palavras para vocês.
07/04/2026 - 20:18:13 (-3 TMZ) | 06:00:43:13 (Artemis Clock) | Nenhuma mudança no plano de queima nem no PAD. No entanto, logo depois da queima, vamos trocar o plano de queima ativo para o plano no slot 4, que é o nominal PLS-RTC last.
07/04/2026 - 20:18:33 (-3 TMZ) | 06:00:43:33 (Artemis Clock) | Ok, isso faz sentido. Já estávamos esperando isso em breve. Parece ótimo.
07/04/2026 - 20:19:05 (-3 TMZ) | 06:00:44:05 (Artemis Clock) | E Stan, já que estamos com você, há uma nova foto em PAO for downlink no PCD2.
07/04/2026 - 20:19:10 (-3 TMZ) | 06:00:44:10 (Artemis Clock) | Recebido, vamos procurar a foto no PCD2.
07/04/2026 - 20:20:42 (-3 TMZ) | 06:00:45:42 (Artemis Clock) | Houston, Integridade, estamos ok para a linha secundária de purge?
07/04/2026 - 20:20:48 (-3 TMZ) | 06:00:45:48 (Artemis Clock) | Verificando.
07/04/2026 - 20:21:09 (-3 TMZ) | 06:00:46:09 (Artemis Clock) | Ótimo, obrigado.
07/04/2026 - 20:27:43 (-3 TMZ) | 06:00:52:43 (Artemis Clock) | Integridade, starfield maneuvers concluídas.
07/04/2026 - 20:28:03 (-3 TMZ) | 06:00:53:03 (Artemis Clock) | Recebemos, Sam. Obrigado.
07/04/2026 - 20:33:50 (-3 TMZ) | 06:00:58:50 (Artemis Clock) | para que possamos observar, mas não chamar nem comandar durante esse período.
07/04/2026 - 20:33:52 (-3 TMZ) | 06:00:58:52 (Artemis Clock) | E correção: continuamos liberados para a queima.
07/04/2026 - 20:34:11 (-3 TMZ) | 06:00:59:11 (Artemis Clock) | Falamos com vocês do outro lado dessa queima, ou depois dela.
07/04/2026 - 20:34:13 (-3 TMZ) | 06:00:59:13 (Artemis Clock) | Perda de retorno, ou perda de forward.
07/04/2026 - 20:34:15 (-3 TMZ) | 06:00:59:15 (Artemis Clock) | Roger. Aguardem o go final.
07/04/2026 - 20:35:22 (-3 TMZ) | 06:01:00:22 (Artemis Clock) | Ok, recebemos que ainda está tudo liberado, então vamos seguir aqui em cima.
07/04/2026 - 20:39:33 (-3 TMZ) | 06:01:04:33 (Artemis Clock) | O ARS está configurado para exercício, então Christina pode começar durante o LOS.
07/04/2026 - 20:39:53 (-3 TMZ) | 06:01:04:53 (Artemis Clock) | Obrigado. Ótimas palavras.
07/04/2026 - 20:44:00 (-3 TMZ) | 06:01:09:00 (Artemis Clock) | Integridade, as pressões dos tanques estão boas para a queima.
07/04/2026 - 20:44:06 (-3 TMZ) | 06:01:09:06 (Artemis Clock) | Integridade recebeu.
07/04/2026 - 20:46:57 (-3 TMZ) | 06:01:11:57 (Artemis Clock) | freios acionados.
