07/04/2026 - 19:38:12 (-3 TMZ) | 06:00:03:12 (Artemis Clock) | and prop avionics are configured.
07/04/2026 - 19:38:38 (-3 TMZ) | 06:00:03:38 (Artemis Clock) | The cable is still not near it, and also tell us what cable it was. If that was EMI off of that cable, we definitely need to document this.
07/04/2026 - 19:39:05 (-3 TMZ) | 06:00:04:05 (Artemis Clock) | The thing is near the smoke detector right now. The only cable that was was an unconnected HDMI cable that goes from cameras, you know, to the encoder. We are near it right now, like a couple heads are near it, but other than that, we are not seeing anything that would cause it.
07/04/2026 - 19:39:07 (-3 TMZ) | 06:00:04:07 (Artemis Clock) | spikes of any kind.
07/04/2026 - 19:39:25 (-3 TMZ) | 06:00:04:25 (Artemis Clock) | All right, copy. Thanks for that information. We're still scratching our heads down here.
07/04/2026 - 19:47:51 (-3 TMZ) | 06:00:12:51 (Artemis Clock) | Houston Integrity for Photo TV.
07/04/2026 - 19:47:54 (-3 TMZ) | 06:00:12:54 (Artemis Clock) | Go ahead for PhotoTV.
07/04/2026 - 19:48:18 (-3 TMZ) | 06:00:13:18 (Artemis Clock) | They stand on PCD2. Please do about ten images in there in imagery for downlink for PhotoTV subfolder if PhotoTV could take a look and hopefully give us a thumbs up, and if not, give us feedback, that would be appreciated.
07/04/2026 - 19:48:23 (-3 TMZ) | 06:00:13:23 (Artemis Clock) | We will get those down and take a look, and get back to you.
07/04/2026 - 20:17:32 (-3 TMZ) | 06:00:42:32 (Artemis Clock) | And take it to Houston, two minutes to starfield maneuvers, and we have a couple of other words for you.
07/04/2026 - 20:18:13 (-3 TMZ) | 06:00:43:13 (Artemis Clock) | No change to the burn plan or to the PAD. However, right after the burn, we're going to change the active burn plan to the plan in slot 4, which is nominal PLS-RTC last.
07/04/2026 - 20:18:33 (-3 TMZ) | 06:00:43:33 (Artemis Clock) | Okay, that makes sense. We're expecting that soon. Sounds great.
07/04/2026 - 20:19:05 (-3 TMZ) | 06:00:44:05 (Artemis Clock) | And Stan, while we have you, there's a new photo in PAO for downlink on PCD2.
07/04/2026 - 20:19:10 (-3 TMZ) | 06:00:44:10 (Artemis Clock) | Copy, we'll go look for the photo on PCD2.
07/04/2026 - 20:20:42 (-3 TMZ) | 06:00:45:42 (Artemis Clock) | Houston Integrity, are we okay for secondary purge line?
07/04/2026 - 20:20:48 (-3 TMZ) | 06:00:45:48 (Artemis Clock) | Checking.
07/04/2026 - 20:21:09 (-3 TMZ) | 06:00:46:09 (Artemis Clock) | Great, thank you.
07/04/2026 - 20:27:43 (-3 TMZ) | 06:00:52:43 (Artemis Clock) | Integrity Starfield maneuvers complete.
07/04/2026 - 20:28:03 (-3 TMZ) | 06:00:53:03 (Artemis Clock) | We copy, Sam. Thank you.
07/04/2026 - 20:33:50 (-3 TMZ) | 06:00:58:50 (Artemis Clock) | so we can watch but not call or command during that period.
07/04/2026 - 20:33:52 (-3 TMZ) | 06:00:58:52 (Artemis Clock) | And correction, we're still a go for the burn.
07/04/2026 - 20:34:11 (-3 TMZ) | 06:00:59:11 (Artemis Clock) | Talk to you on the other side of that burn, or after that.
07/04/2026 - 20:34:13 (-3 TMZ) | 06:00:59:13 (Artemis Clock) | Loss of return, or loss of forward.
07/04/2026 - 20:34:15 (-3 TMZ) | 06:00:59:15 (Artemis Clock) | Roger. Stand by for final go.
07/04/2026 - 20:35:22 (-3 TMZ) | 06:01:00:22 (Artemis Clock) | Okay, we copy you're still go, then we'll go up here.
07/04/2026 - 20:39:33 (-3 TMZ) | 06:01:04:33 (Artemis Clock) | The ARS is configured for exercise, so Christina can begin during the LOS.
07/04/2026 - 20:39:53 (-3 TMZ) | 06:01:04:53 (Artemis Clock) | Thank you. Great words.
07/04/2026 - 20:44:00 (-3 TMZ) | 06:01:09:00 (Artemis Clock) | Integrity tank pressures are good for the burn.
07/04/2026 - 20:44:06 (-3 TMZ) | 06:01:09:06 (Artemis Clock) | Integrity copies.
07/04/2026 - 20:46:57 (-3 TMZ) | 06:01:11:57 (Artemis Clock) | brakes set.
07/04/2026 - 20:46:59 (-3 TMZ) | 06:01:11:59 (Artemis Clock) | Okay, we show the same stint.
07/04/2026 - 20:48:56 (-3 TMZ) | 06:01:13:56 (Artemis Clock) | Integrity optocoupler glitch.
07/04/2026 - 20:49:01 (-3 TMZ) | 06:01:14:01 (Artemis Clock) | After a couple of glitch, you're still go for the burn. No action.
07/04/2026 - 20:49:24 (-3 TMZ) | 06:01:14:24 (Artemis Clock) | Okay, Sam, and are you guys going to run that procedure from the ground, or we're just not gonna bother?
07/04/2026 - 20:49:48 (-3 TMZ) | 06:01:14:48 (Artemis Clock) | Jeremy, we're making a plan for recovery complicated by the upcoming Ford LOS.
07/04/2026 - 20:50:11 (-3 TMZ) | 06:01:15:11 (Artemis Clock) | Okay, understood, and we'll be standing by to help you out if you want to send anything to us.
07/04/2026 - 20:50:15 (-3 TMZ) | 06:01:15:15 (Artemis Clock) | Jeremy thanks for that offer. Once we figure out what we will let you know.
07/04/2026 - 20:50:18 (-3 TMZ) | 06:01:15:18 (Artemis Clock) | Okay, copy. We're standing by.
07/04/2026 - 20:51:23 (-3 TMZ) | 06:01:16:23 (Artemis Clock) | an optocoupler glitch, it's something internal to the prop system. Still evaluating.
07/04/2026 - 20:51:29 (-3 TMZ) | 06:01:16:29 (Artemis Clock) | Understood, Stan.
07/04/2026 - 20:52:09 (-3 TMZ) | 06:01:17:09 (Artemis Clock) | Integrity, thirty seconds to maneuver.
07/04/2026 - 20:52:16 (-3 TMZ) | 06:01:17:16 (Artemis Clock) | Okay, integrity copies.
07/04/2026 - 22:05:08 (-3 TMZ) | 06:02:30:08 (Artemis Clock) | And Terry Houston, voice check on Madrid after the LS.
07/04/2026 - 22:05:41 (-3 TMZ) | 06:02:30:41 (Artemis Clock) | the prop valves in 12.2.2509, and your plan that if you needed prop you would open Noxhelium isolate valve 1, and we were good with both of those conclusions. And we have more software words when you're ready.
07/04/2026 - 22:06:37 (-3 TMZ) | 06:02:31:37 (Artemis Clock) | All right, for the pop cautions, it's still an evolving story. We had a fitter function that should have been inhibited. Even left enabled, we did not see its trigger conditions being met, yet it executed. So we are running tests starting now to understand this better. That fitter swapped branches.
07/04/2026 - 22:06:57 (-3 TMZ) | 06:02:31:57 (Artemis Clock) | thinking is that we'll disable that filler for future burns.
